MR_ID,smiles,SRC
385,CC(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)CSSC1(C)C,4.77030375612038
387,CC(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)CSSC1(C)C,4.958607314841768
4280313,CC(=O)Nc1cc(Cl)c(-c2cc3cnc(Nc4ccccc4)nc3n(C)c2=O)c(Cl)c1,5.82390874094432
4299416,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,8.16749108729376
4299439,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(S(=O)(=O)N(CCN4CCCC4)C(C)=O)cc3)nc12,7.46597389394386
4299424,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,7.52432881167557
4299451,CC(=O)Nc1cc(-c2c(C)cccc2C)cc2nnc(Nc3ccc(C(=O)NCCN4CCCC4)o3)nc12,6.86327943284359
4299510,CC(=O)Nc1cc2nc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nnc2cc1-c1ccccc1C,6.95467702121334
4198028,CC(=O)Nc1ccc(/C=N/Nc2ncnc3c(C)csc23)cc1,5.11350927482752
4280360,CC(=O)Nc1ccc(Cl)c(-c2cc3cnc(Nc4ccccc4)nc3n(C)c2=O)c1Cl,6.107905397309519
4299463,CC(=O)Nc1ccc(Nc2nnc3cc(-c4cc(O)ccc4Cl)cc(C)c3n2)cn1,6.9266482976131
4278449,CC(=O)Nc1cccc(Nc2ncc3cc(-c4ccccc4Br)c(C(=O)NCCNS(C)(=O)=O)nc3n2)c1,8.74472749489669
4344148,CC(=O)Nc1cccc(Nc2ncc3cc(-c4ccccc4C)c(C(=O)NCCNS(C)(=O)=O)nc3n2)c1,9.0
4344147,CC(=O)Nc1cccc(Nc2ncc3cc(-c4ccccc4C)c(C(=O)NC[C@H]4CCCN4)nc3n2)c1,9.15490195998574
4299555,CC(=O)Nc1cccc(-c2cc(C)c3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2)c1,5.40044440901402
4299632,CC(=O)Nc1ccccc1-c1cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc2cc1C,5.0
4299950,CC(=O)OCCCCCOc1ccc(NS(=O)(=O)c2ccc(C)cc2)c(NS(=O)(=O)c2ccc(C)cc2)c1,3.88272870434424
4299485,CC(=O)Oc1ccc(Cl)c(-c2cc(C)c3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2)c1,7.274088367704952
4299508,CC(=O)Oc1ccc(Cl)c(-c2cc(C)c3nc(Nc4cccc(OCCN5CCCC5)c4)nnc3c2)c1,6.87614835903291
8279,CC(=O)Oc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(OC(C)=O)cc4n3C)n(C)c2c1,5.455931955649719
8267,CC(=O)Oc1ccc2c(c1)c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3cc(OC(C)=O)ccc3n1C)n2C,5.11350927482752
8284,CC(=O)Oc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC(C)=O)c4n3C)n(C)c12,4.95467702121334
2021,CC(=O)Oc1cccc2c1c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3c(OC(C)=O)cccc3n1C)n2C,5.840968332518622
8794,CC(=O)c1c(SSc2c(C(C)=O)c3ccccc3n2C)n(C)c2ccccc12,4.939302159646389
